Feature,Importance,RF_Norm,Correlation,Corr_Norm,Combined_Score
internet_penetration_percent,0.3244829874934795,0.9999999999969147,0.5287299367143571,0.999999999998107,0.9999999999973916
__satellite,0.14797589857935695,0.45540563485566715,0.4278581423086024,0.8090369579683363,0.5968581641007349
_Air_cooling,0.11662111970730489,0.35866370795052543,0.2300884686286513,0.4346339969657517,0.38905182355661594
__free_cooling_pilots,0.004190538171950537,0.011770778321518556,0.2858862688568114,0.540266277356027,0.22316897793532192
__fiber,0.006443825213364925,0.01872306241021662,0.2767154806781698,0.5229048175077013,0.22039576444921052
_Mobile_3G4G,0.0018121006083125883,0.004432355241934996,0.28373615180935763,0.5361958343296023,0.2171377468770019
__precision_CRACCRAH,0.0009815634991446728,0.0018698189014619401,0.2741119298644087,0.5179759671149444,0.20831227818685497
_Mobile_3G4G5G,0.000518870862157189,0.0004422286304653665,0.2632375523193006,0.4973893975151119,0.19922109618432401
__onsite_batteriesmicrogrids,0.0530422488611081,0.1624976784845466,0.12859211812498358,0.24248859139146084,0.1944940436473123
__liquid_immersion_pilots,0.0008012998922195628,0.0013136341885679698,0.2424750161315435,0.4580832952094599,0.18402149859692474
__free_cooling,0.0010895334760430606,0.0022029490968837285,0.23661431401833818,0.44698824618647803,0.18011706793272145
__modular_racks,0.0007369553877670216,0.0011151058758059314,0.21532699109487002,0.4066886563349899,0.16334452605947955
__generators,0.002475715379116755,0.006479869973653705,0.206560819503445,0.39009318676973376,0.15992519669208574
__WiFi_hotspots,0.0009551360335145427,0.0017882796898887703,0.19156312112118803,0.36170065024956094,0.14575322791375764
__precision_AC,0.006477560340110506,0.01882714865426491,0.16877276913026054,0.3185556366136335,0.13871854383801235
growth_rate_of_data_centers_percent_per_year,0.02013181365774133,0.06095593488454966,0.13489876961216507,0.2544278788811761,0.13834471248320024
__VSATsatellite_backhaul,0.0035051671418706073,0.009656136902248522,0.17312100811768474,0.3267874019887085,0.1365086429368325
__VSATfiber_fallback,0.018786997214280492,0.05680664285461655,0.13369164036092998,0.2521426308066576,0.13494103803543298
__Starlink,0.014593894634653274,0.04386925857519396,0.1372529165604549,0.2588845762689731,0.12987538565270562
_Mobile_2G3G4G,0.0005394194712955783,0.0005056292384358567,0.16994643896315262,0.32077754178492546,0.1286143942570317
__CRACCRAH,0.0006228559597405202,0.0007630638929521748,0.16553999103808986,0.31243557954193246,0.1254320701525443
__liquid_cooling_pilots,0.0038085294554928806,0.010592129941458877,0.15737830645044928,0.29698448019225715,0.1251490700417782
__freefjord_cooling,0.000645692593066494,0.0008335239628826982,0.1578279378329323,0.2978356891659533,0.11963439004411096
__carrierneutral_fibre_hub,0.0017335579762047886,0.004190020074931699,0.15335461468520692,0.28936712368335993,0.11826086151830299
__solarpowered_towers,0.00114976217228424,0.002388778509144381,0.15360058852434091,0.2898327832154173,0.11736638039165355
__green_energy_initiatives,0.001424354969355621,0.0032360061809247817,0.15189979285854982,0.28661296229199784,0.11658678862535402
__VSATStarlink_fallback,0.0019113810847929409,0.0047386748826495064,0.1498793140621419,0.2827879408418322,0.11595838126632257
__battery_storage,0.0014806106680301347,0.0034095773201560787,0.15074247915961445,0.28442202134727307,0.11581455493100289
__microgrids,0.027385026132103724,0.08333497170970415,0.0831348784913666,0.15643229771838502,0.1125739021131765
_Liquid,0.008958135108574275,0.02648070551437602,0.12498023646680627,0.23565084340689912,0.11014876067138527
__basic_UPSgensets,0.0014397571648460626,0.0032835280619240175,0.14227360052838128,0.268389364889355,0.10932586279289641
__biomass_cogeneration,0.0008580811583339343,0.0014888269117708179,0.14365185581909815,0.270998576161539,0.10929272661167809
__solar,0.0008213025694595433,0.0013753503801365277,0.14291455299624606,0.26960276883226103,0.10866631776098634
__liquid_cooling,0.0013350685855477067,0.0029605222793728913,0.13908709410632764,0.26235690593105526,0.10671907574004585
__UPSbacked_FTTH_households,0.0009644653978076417,0.0018170644783957277,0.13907516790486327,0.2623343281259819,0.1060239699374302
__VSATsatellite_fallback,0.00078751284550066,0.0012710956820340669,0.13907506619810525,0.26233413558224833,0.10569631164211978
__solar_pilots,0.0006848258819125267,0.0009542656777118587,0.13808779525137635,0.26046510703561027,0.10475860222087123
__battery_storage_support,0.0004778726013611712,0.000315732737595218,0.13845518605006507,0.2611606242011832,0.10465368932303042
__AIoptimized_cooling,0.0004252428553334963,0.0001533491001911033,0.1373722962547592,0.25911057710216173,0.10373624030097936
__hydroelectric_green_energy_tieins,0.00037554127008974973,0.0,0.13680864969294085,0.25804352299939154,0.10321740919975662
__3G4G_intranet,0.0011804331607825171,0.0024834106715817808,0.1347372941008498,0.2541221853517238,0.1031389205436386
__UPS__gensets,0.0013181073656050616,0.0029081901896901934,0.13313025853441138,0.2510798641337362,0.10217685976730859
_Satellite_and_intranet_WiFi_Mirae,0.0007381741544552377,0.001118866254354508,0.13428762750131218,0.2532709097076971,0.10197968363569154
__upcoming_liquid_immersion,0.0006700216035114589,0.0009085886080439857,0.13444401335017175,0.253566967863543,0.10197194031024359
__heat_reuse,0.002649300270572656,0.007015448200806569,0.12790296556383385,0.2411839385866303,0.10068284435513607
__NVidia_AI_hardware_integration,0.0005540528166142468,0.0005507789117591206,0.1325036126315471,0.24989354432460203,0.10028788507689629
__AIoptimized_cooling_pilots,0.000629683858124562,0.0007841306671456768,0.1307328610152181,0.24654128795476762,0.09908699358219447
__satelliteStarlink_backup,0.0015159558830639469,0.0035186313250719103,0.12739246234556018,0.24021749154261926,0.09819817541209086
__PPAbacked_renewables,0.0005903707554538536,0.0006628341553602279,0.1278805504521081,0.24114150395019102,0.09685430207329254
__5Gready_infrastructure,0.0006483008081280106,0.0008415713406640491,0.12326272378410887,0.23239937505992683,0.09346469282836917
__waterchillers,0.0004702067744967012,0.00029208062174977483,0.12359287095904273,0.23302438534366685,0.09338500251051661
__Air,0.0041041896941493424,0.011504359025056565,0.11406789497936748,0.21499240327122826,0.09289957672352525
__eCentre_cable_module,0.0017742742453007829,0.004315645911580343,0.11894295482637497,0.22422150704544075,0.09227799036512452
__heat_recovery,0.0008571953384827147,0.0014860938062481316,0.12089011621342095,0.22790772938324816,0.09205474803704815
__compact_containerized_eCentre,0.0006720097889343995,0.0009147229485107088,0.11998384109774397,0.22619203617064002,0.09102564823736244
__waste_heat_reuse,0.0008349613361958192,0.0014174930920531786,0.1177757522318416,0.22201184517286068,0.08965523392437619
__UPSgenerator_backup,0.0005413658510156174,0.0005116345917306143,0.11809841735046016,0.22262269097937465,0.08935605714678822
__UPSgensets,0.0058610814347780475,0.016925066759775974,0.10449972123485254,0.19687864237616368,0.08890649700633106
__solar_hybrid_pilots,0.0007082464214137185,0.0010265273297473908,0.11670743816859622,0.2199893917748384,0.0886116731077838
__Free_Cooling,0.011745686500846479,0.03508140699391653,0.0802106294218979,0.15089632503892397,0.08140737421191951
__N1_redundancy,0.004995439908437724,0.01425421937128058,0.09667569079285268,0.1820667649535431,0.0813792376041856
__basic_3G4G_rigs,0.0006270911845504516,0.0007761312410161229,0.10479909897248198,0.19744540223039747,0.07944383963676867
__Liquid,0.013030057444155288,0.039044200685548036,0.07301979835146861,0.1372831739690841,0.07833978999896246
__HFC__fiber_backbone_redundancy,0.0007616771900244769,0.001191382439474696,0.10295050849859184,0.19394578707592397,0.0782931442940544
__regional_freeambient_cooling,0.0006117684139133172,0.0007288544171861452,0.10152112115294668,0.1912397763682599,0.07693322319761565
__underground_fiber_loops,0.0011919696858282106,0.0025190054262845354,0.09996177027764815,0.1882877282908659,0.07682649457211708
__AIimmersionled_designs,0.0009785325246649147,0.0018604671432253838,0.09839263192925038,0.18531715129121143,0.07524314080241981
__economy_chillers,0.0037836920331731005,0.010515496644047424,0.09141371548953074,0.17210518137185402,0.07515137053517007
__satellite__fiber_backup,0.0026155074000400506,0.0069111837942763665,0.09174799831048189,0.17273802095563642,0.07324191865882039
_Aireconomizer,0.002359255568060422,0.006120545273116881,0.08945597018919449,0.16839892234995274,0.07103189610385123
__solar_PPA_pilots,0.0007076457516074223,0.0010246740251927018,0.09329456189903514,0.17566586108480695,0.0708811488490384
__basic_UPSgenerators,0.0010916600241024613,0.002209510340953167,0.09073686472016738,0.17082381741199523,0.06965523316936999
__satellite_VSAT,0.0013899610380687043,0.0031298872636102296,0.08933447417862794,0.1681689150628915,0.06914549838332273
_Air,0.008366765378325536,0.024656095382341855,0.07098598099884904,0.13343290094799654,0.06816681760860373
__mobile_tower_solar_backup,0.011533614981304277,0.034427082256818765,0.06216285859262579,0.11672961630019912,0.06734809587417091
__evaporative_cooling,0.0021013690765871286,0.005324863179177113,0.08516097829966479,0.16026796045372033,0.0673021020889944
__precision__liquid_cooling,0.0037172353691495097,0.010310451481408425,0.0806141427909055,0.15166022679064076,0.06685036160510137
__local_IXP_cacheSatellite_fallback,0.0031057211493965265,0.008423687610733225,0.07932266988762277,0.14921530553427992,0.06474033478015191
__precision_CRAC,0.0015285180867911528,0.003557390705251373,0.08268019353930581,0.1555715216994572,0.06436304310293371
__fire_suppressionargon_systems,0.0013746306961974933,0.0030825870795206686,0.07984204053541294,0.15019853974189235,0.06192896814446935
_TierIII_ISPdatahub_rollouts_some_TierIV_planning,0.0026168406428320914,0.006915297377002009,0.07630157873802722,0.14349599857067674,0.0615475778544719
__heatrecovery_to_district_heating,0.001188356002358929,0.0025078557797355953,0.07949857088508272,0.14954830833024393,0.06132403679993893
__UPSN1_generators,0.0007318333026755112,0.0010993022120790441,0.08058446229223593,0.1516040378594505,0.061301196471027636
__redundant_cabling,0.0004935079518299703,0.0003639739941628758,0.08035524765947076,0.15117010562092503,0.060686426644867744
_Ambient_free_cooling,0.00204279571886143,0.005144141142679542,0.07517400207680829,0.1413613535926961,0.05963102612268617
__HVAC,0.0006733272706443768,0.0009187879020479541,0.0784153589988365,0.14749765147240795,0.059550333330191954
__carrierneutral_fibre,0.000838386609680981,0.0014280614190850434,0.07484103993684912,0.14073101422476952,0.05714924254135884
__modular_setups,0.0011501231114396087,0.0023898921495731137,0.06409735740827528,0.12039186679168377,0.04959068200641738
__onsite_batteriesgas_gen,0.0017902678284737322,0.004364992458101451,0.06240515514579618,0.11718831426566434,0.04949432118112661
__free_ambient_cooling,0.001106039013184849,0.0022538752244197218,0.06330593291171459,0.11889360030113062,0.048909765255104085
__geothermal_exchange,0.0006791269315971687,0.0009366821560071075,0.06070199523358946,0.11396401752529034,0.0461476163037204
power_capacity_MW_total,0.013091468405958305,0.03923367785590746,0.029837881024545414,0.055534352685531405,0.045753947787757036
__diesel_backup,0.0008831516449811955,0.0015661793050567904,0.05722581020354218,0.10738316038968745,0.04389297173890906
__carrierneutral_cache_nodes,0.0006842531108925063,0.0009524984519764034,0.05760276450019124,0.10809678246430568,0.04381021205690812
__microPOP_hubs,0.0007491785512934166,0.0011528191825157454,0.057169270587816574,0.10727612375890516,0.04360214101307152
total_data_centers,0.001994768879996266,0.004995959299205593,0.05287960107914509,0.09915523780159613,0.04265967070016181
__inrow_cooling,0.00105311079040607,0.002090570667874189,0.05502103336636631,0.10320923948043613,0.04253803819289897
__economizers,0.002605330454819199,0.006879783882489688,0.05088941247439115,0.09538755950841495,0.042282894132859794
__power_redundancy_pilots,0.0012934050302524731,0.0028319736891427596,0.0533760405608187,0.10009506041665477,0.041737208380147564
__carrierneutral_edge_modules,0.0006164353783161016,0.0007432538531051623,0.05138266172362617,0.09632134261069557,0.038974489356141326
__CDMA4G_cell,0.0006473475164176612,0.0008386300576992344,0.051104873711213736,0.09579545483203367,0.038821359967433015
__UPSbackup_power_banks_for_home_routers,0.0004863355621671266,0.0003418443277624376,0.05087247967304467,0.09535550357767375,0.03834730802772696
__containerized_eCentre_modules,0.0008235619957845885,0.0013823216063498277,0.04879121496487243,0.09141540672222316,0.03739555565269916
__free_cooling_via_ambient,0.0018761737284734353,0.004630046226536712,0.04412887607431609,0.08258901057492164,0.035813631965890685
__VSATKacificStarlink_backup,0.0007651266574489658,0.001202025414403759,0.045209988516155056,0.08463569291943661,0.0345754924164169
__VSAT_fallback,0.0011716366506398907,0.002456269949438247,0.04295256627069891,0.0803621076057467,0.033618605011961636
_Mobile_4G5G,0.004582156420690177,0.012979075919434618,0.03413111375051387,0.0636619842630453,0.03325223925687889
__heat_reuse_pilots,0.0005764985396111079,0.0006200328683045103,0.0428017389911053,0.08007657252329924,0.0324026487303024
__mobile_3G4G,0.0007704208659408884,0.0012183601470783588,0.03883400207297897,0.07256514560437843,0.02975707432999839
__UPSgenerators,0.0007018533716325603,0.0010068022359378149,0.03747482277642039,0.06999204759750981,0.02860090038056661
__immersion_pilots,0.0024740945767440636,0.006474869155586817,0.031972156092461144,0.05957480484461614,0.02771484343119855
__basic_UPS,0.0006701976926531594,0.0009091319128762313,0.0351614325400138,0.0656125078109055,0.02679048227208794
_Unknown,0.009257272766118757,0.02740366381425223,0.012822588960404394,0.023322256601236782,0.02577110092904605
_SatelliteVSAT,0.0004611237032708131,0.00026405574502540727,0.03424157169432161,0.06387109509615918,0.025706871485478917
__satellite_backup,0.000852763556344403,0.001472420000879145,0.03275496769866117,0.06105676604632585,0.02530615841905783
__small_precision_AC,0.0017560328582720262,0.004259363998772553,0.03029434700008933,0.056398500406769726,0.025115018561971424
__solar_PPAs,0.002071173801448065,0.0052316987811022895,0.029243513263749715,0.05440913947449831,0.0249026750584607
__generatorUPS_backups,0.0008209945938059172,0.0013744001531139345,0.03127049729088415,0.058246476147724616,0.02412323055095821
__satelliteVSAT_fallback,0.0007108148840587954,0.0010344520555597642,0.031306387480615476,0.058314420808077846,0.023946439556566997
__carrierneutral_CLS_locations,0.001068954802632892,0.0021394557287124794,0.02776460367427006,0.051609376906995866,0.021927424200025837
__HTS,0.0008455783819727898,0.0014502508885822349,0.02786772395931772,0.05180459662568618,0.021591989183423813
__closedloop__liquid_cooling,0.001003383127777392,0.001937141108609297,0.026968961508300745,0.05010312583576492,0.021203534999471547
__early_Starlink_LEO,0.0006865358378633402,0.0009595415699220906,0.02645848670365551,0.049136732582339804,0.020230417974889177
__liquidcooling_pilots_DEAC,0.003848714908688899,0.01071611800055517,0.018623081038575108,0.03430332042628829,0.02015099897084842
__containerized_colocation_module,0.0009432472383335688,0.0017515980421220513,0.025654423150273494,0.04761453876152346,0.020096774329882616
__UPS__generator_backup,0.0005774377262172084,0.0006229306314291819,0.026340564430151533,0.0489134908307278,0.019939154711148634
_Satellite_GEO,0.0005826506905054964,0.00063901469351728,0.026105203757524554,0.04846792336279688,0.01977057816122912
__UPSbattery_systems,0.0020319817229482325,0.005110775676877468,0.02242860868736514,0.041507664719184954,0.019669531293800464
__adiabaticliquid_cooling_pilots,0.0007333335343452746,0.0011039310217137502,0.02193876368886255,0.04058032629333272,0.01689448913036134
_Mobile_4G,0.0011915042150424354,0.002517569264322823,0.02025989065655069,0.03740200768285574,0.01647134463173599
__Immersion,0.0016271889094054725,0.003861829322024179,0.017605658507324328,0.032377211123466226,0.015267982042600999
_Air_and_liquid_cooling,0.0014711186798111815,0.0033802907723475425,0.017431852281730154,0.03204817399511231,0.014847444061453451
__some_energyefficient,0.0036474858611127503,0.010095246589175034,0.008928338372591561,0.015949948583362013,0.012437127386849826
__upcoming_FTTH_pilots,0.0011663832151707957,0.002440061017708064,0.013723633938432305,0.0250280485029623,0.01147525601180976
__Satcube_backup,0.004012321500262786,0.01122090921556668,0.00660087449307567,0.011543765613532642,0.011350051774753065
__carrierneutral_fiber_hubs,0.0009642869086432239,0.0018165137685416432,0.01326428365677183,0.024158440426097237,0.01075328443156388
__solar_power,0.0005523456757099716,0.000545511705083797,0.01367151100486322,0.02492937320911524,0.010299056306696374
__cable_landing_eCentre_module,0.00039585996782981833,6.269124013275933e-05,0.013826671193680019,0.02522311103575867,0.010126859158383125
__VSATStarlink_backup,0.0028949980577478527,0.007773523308421012,0.0076757129265292824,0.013578570468070905,0.01009554217228097
__backup_generators,0.001101530129461766,0.002239963530086228,0.011167280966315944,0.02018854958323915,0.009419397951347396
__VSATsatellite,0.0006480885994428104,0.0008409165927165019,0.012048928379657892,0.02185761944604167,0.00924759773404657
__precision_AC_in_modern_colos,0.0005809110746038485,0.0006336472885967417,0.009162285198852463,0.016392839461621667,0.006937324157806713
__basic_precision_AC,0.0009391874062327713,0.0017390718501197034,0.00737568389940238,0.013010577640592092,0.0062476741663086595
__freecooling,0.0019586126331031318,0.004884402939380085,0.004859399075668165,0.008246932784421897,0.0062294148773968105
__modular_prefab,0.0013569902698651916,0.0030281593687790627,0.003958986374761053,0.006542337863112017,0.004433830766512244
__wasteheat_capture_pilots,0.0021332240884487943,0.005423148523228146,0.0005031482563154026,0.0,0.0032538891139368875
__satellite_fallback,0.0007271716899922821,0.001084919288337139,0.003400307026922342,0.005484687323523697,0.0028448265024117623
__carrierneutral_VXLAN,0.0005364714139827091,0.0004965333125408738,0.0037435183496563034,0.006134429688418115,0.0027516918628917703
__emerging_liquid_immersionGridPPA_renewables,0.001369145926391681,0.0030656643896235197,0.0009409066649334306,0.0008287319351884242,0.0021708914078494815
__solar__backup_generators,0.0007177984981444888,0.0010559992744436477,0.0023937609557105454,0.0035791685327252946,0.0020652669777563065
__Indirect_Evap,0.000861478506246434,0.001499309077336825,0.0016128871028811675,0.0021008757427905668,0.0017399357435183217
__seawater_cooling_pilot,0.0005818970987966092,0.0006366895642502237,0.0022890535636079174,0.0033809442200052157,0.0017343914265522207
__fibrefed_redundancy,0.0010969422903158138,0.0022258082269625353,0.0008105898298865445,0.0005820257137431807,0.0015682952216747935
